bin_timestamp,bin_index,active_jobs,cpu_ReadMB_sum,cpu_WriteMB_sum,cpu_ReadMB_max,cpu_WriteMB_max,cpu_CPUUtilization_mean,cpu_CPUUtilization_max,cpu_RSS_max,gpu_utilization_gpu_pct_mean,gpu_utilization_gpu_pct_max,gpu_memory_used_MiB_max,gpu_power_draw_W_mean
2021-06-11 20:05:00+00:00,16369,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 20:10:00+00:00,16370,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 20:15:00+00:00,16371,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 20:20:00+00:00,16372,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 20:25:00+00:00,16373,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 20:30:00+00:00,16374,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 20:35:00+00:00,16375,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 20:40:00+00:00,16376,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 20:45:00+00:00,16377,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 20:50:00+00:00,16378,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 20:55:00+00:00,16379,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 21:00:00+00:00,16380,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 21:05:00+00:00,16381,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 21:10:00+00:00,16382,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 21:15:00+00:00,16383,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 21:20:00+00:00,16384,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 21:25:00+00:00,16385,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 21:30:00+00:00,16386,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 21:35:00+00:00,16387,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 21:40:00+00:00,16388,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 21:45:00+00:00,16389,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 21:50:00+00:00,16390,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 21:55:00+00:00,16391,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 22:00:00+00:00,16392,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 22:05:00+00:00,16393,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 22:10:00+00:00,16394,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 22:15:00+00:00,16395,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 22:20:00+00:00,16396,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 22:25:00+00:00,16397,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 22:30:00+00:00,16398,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 22:35:00+00:00,16399,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 22:40:00+00:00,16400,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 22:45:00+00:00,16401,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 22:50:00+00:00,16402,6,0,0,0,0,0,0,0,0,0,0,0
